CDT_Code__c,CDT_Description__c,Benefit_Category__c,Frequency_Limit__c,Frequency_Period__c,Age_Min__c,Age_Max__c,Tooth_Specific__c,Quadrant_Specific__c,Requires_Preauth__c,Notes__c,DHMO_Copay_11A__c,DHMO_Copay_15B__c,DHMO_Copay_17B__c
D3347,Retreatment of previous root canal therapy - premolar,Endodontics Periodontics Oral Surgery,,,0,999,true,false,false,,,,
D3348,Retreatment of previous root canal therapy - molar,Endodontics Periodontics Oral Surgery,,,0,999,true,false,false,,,,
D3410,Apicoectomy - anterior,Endodontics Periodontics Oral Surgery,,,0,999,true,false,false,Retreatment within 24mo by same provider is part of original,,,
D3421,Apicoectomy - premolar first root,Endodontics Periodontics Oral Surgery,,,0,999,true,false,false,,,,
D3425,Apicoectomy - molar first root,Endodontics Periodontics Oral Surgery,,,0,999,true,false,false,,,,
D4210,Gingivectomy or gingivoplasty - 4+ contiguous teeth per quad,Endodontics Periodontics Oral Surgery,1,Per 36 Months,13,999,false,true,false,Per quadrant; age 13+,280,385,595
D4211,Gingivectomy or gingivoplasty - 1 to 3 teeth per quad,Endodontics Periodontics Oral Surgery,1,Per 36 Months,13,999,false,true,false,Per quadrant; age 13+,,,
D4260,Osseous surgery - 4+ contiguous teeth per quadrant,Endodontics Periodontics Oral Surgery,1,Per 36 Months,13,999,false,true,false,Per quadrant; age 13+; includes flap,280,385,595
D4261,Osseous surgery - 1 to 3 teeth per quadrant,Endodontics Periodontics Oral Surgery,1,Per 36 Months,13,999,false,true,false,Per quadrant; age 13+,,,
D4341,Periodontal scaling and root planing - 4+ teeth per quad,Endodontics Periodontics Oral Surgery,1,Per 24 Months,13,999,false,true,false,Per quadrant; age 13+,25,60,115
D4342,Periodontal scaling and root planing - 1 to 3 teeth per quad,Endodontics Periodontics Oral Surgery,1,Per 24 Months,13,999,false,true,false,Per quadrant; age 13+,,,
D2710,Crown - resin-based composite indirect,Major,1,Per 60 Months,13,999,true,false,false,Age 13+,,,
D2740,Crown - porcelain/ceramic,Major,1,Per 60 Months,13,999,true,false,false,Age 13+,240,395,470
D2751,Crown - porcelain fused to predominantly base metal,Major,1,Per 60 Months,13,999,true,false,false,Age 13+,240,395,470
D2791,Crown - full cast predominantly base metal,Major,1,Per 60 Months,13,999,true,false,false,Age 13+,210,395,480
D5110,Complete denture - maxillary,Major,1,Per 60 Months,0,999,false,false,false,,145,365,575
D5120,Complete denture - mandibular,Major,1,Per 60 Months,0,999,false,false,false,,145,365,575
D5130,Immediate denture - maxillary,Major,1,Per Lifetime,0,999,false,false,false,,,,
D5140,Immediate denture - mandibular,Major,1,Per Lifetime,0,999,false,false,false,,,,
D5211,Maxillary partial denture - resin base,Major,1,Per 60 Months,0,999,false,false,false,,160,395,670
D5213,Maxillary partial denture - cast metal framework,Major,1,Per 60 Months,0,999,false,false,false,,160,395,670
D5214,Mandibular partial denture - cast metal framework,Major,1,Per 60 Months,0,999,false,false,false,,160,395,670
D6010,Surgical placement of implant body - endosteal,Major,,,0,999,true,false,true,Requires medical necessity documentation and prior auth,,,
D6040,Surgical placement - eposteal implant,Major,,,0,999,true,false,true,Requires prior authorization,,,
D6065,Implant supported porcelain/ceramic crown,Major,,,0,999,true,false,true,,,,
D6245,Pontic - porcelain/ceramic,Major,1,Per 60 Months,13,999,true,false,true,Age 13+; fixed bridges require prior auth,,,
D6751,Retainer crown - porcelain fused to predominantly base metal,Major,1,Per 60 Months,13,999,true,false,true,Age 13+,,,
D7111,Extraction coronal remnants - primary tooth,Major,,,0,999,true,false,false,,,,
D7140,Extraction erupted tooth or exposed root,Major,1,Per Lifetime,0,999,true,false,false,Elevation and/or forceps removal,5,14,53
D7210,Extraction erupted tooth requiring removal of bone,Major,1,Per Lifetime,0,999,true,false,false,Including mucoperiosteal flap if indicated,5,14,53
D7220,Removal of impacted tooth - soft tissue,Major,,,0,999,true,false,false,,,,
D7230,Removal of impacted tooth - partially bony,Major,,,0,999,true,false,false,,,,
D7240,Removal of impacted tooth - completely bony,Major,,,0,999,true,false,false,,90,120,230
D7241,Removal of impacted tooth - completely bony with complications,Major,,,0,999,true,false,false,,,,
D9950,Occlusion analysis - mounted case,Major,1,Per 12 Months,13,999,false,false,false,For diagnosed TMJ; age 13+; permanent dentition,,,
D9951,Occlusal adjustment - limited,Major,1,Per 12 Months,13,999,false,false,false,Age 13+,,,
D9952,Occlusal adjustment - complete,Major,1,Per 12 Months,13,999,false,false,false,Age 13+,,,
D8080,Comprehensive orthodontic treatment of adolescent dentition,Orthodontia,1,Per Lifetime,0,19,false,false,true,Once per patient per phase; requires prior auth; HLD score >=26,1700,1900,1750
D8210,Removable appliance therapy,Orthodontia,1,Per Lifetime,6,12,false,false,true,Once per patient ages 6-12,,,
D8220,Fixed appliance therapy,Orthodontia,1,Per Lifetime,6,12,false,false,true,Once per patient ages 6-12,,,
D8660,Pre-orthodontic treatment examination,Orthodontia,6,Per Lifetime,0,999,false,false,false,Once every 3 months; max 6 lifetime,,,
D8670,Periodic orthodontic treatment visit,Orthodontia,1,Per 3 Months,0,999,false,false,false,Once per calendar quarter,,,
D8680,Orthodontic retention - removal of appliances and retainers,Orthodontia,1,Per Lifetime,0,999,false,false,false,Once per arch per authorized phase,,,
D8696,Repair of orthodontic appliance - maxillary,Orthodontia,1,Per Lifetime,0,999,false,false,false,Once per appliance,,,
D8697,Repair of orthodontic appliance - mandibular,Orthodontia,1,Per Lifetime,0,999,false,false,false,Once per appliance,,,
D8703,Replacement of lost or broken retainer - maxillary,Orthodontia,1,Per Lifetime,0,999,false,false,false,Once per arch; within 24mo of retention,,,
D8704,Replacement of lost or broken retainer - mandibular,Orthodontia,1,Per Lifetime,0,999,false,false,false,Once per arch; within 24mo of retention,,,
